Código;Nombre;Tipo
1;ACTIVO;Grupo
11;ACTIVO CORRIENTE;Subgrupo
1101;EFECTIVO Y EQUIVALENTES;Cuenta Mayor
110101;Caja;Subcuenta
11010101;Caja General;Detalle
11010102;Caja Chica;Detalle
1101010201;Caja chica Casa Matriz;Auxiliar
1101010202;Caja chica sucursal No. 1;Auxiliar
1101010203;Caja chica sucursal No. 2;Auxiliar
1101010204;Caja chica sucursal No. 3;Auxiliar
110102;Bancos;Subcuenta
11010201;Bancos Locales;Detalle
11010202;Bancos del Exterior;Detalle
11010203;Otras Instituciones Financieras;Detalle
110103;Equivalentes de efectivo;Subcuenta
11010301;Depósitos a plazo;Detalle
11010302;Operaciones de reporto;Detalle
11010303;Voucher de Tarjetas de crédito;Detalle
1102;CUENTAS Y DOCUMENTOS POR COBRAR;Cuenta Mayor
110201;Clientes;Subcuenta
11020101;Clientes locales;Detalle
11020102;Clientes del exterior;Detalle
110202;Documentos por cobrar;Subcuenta
11020201;Documentos por cobrar locales;Detalle
11020202;Documentos por cobrar del exterior;Detalle
110203;Cuentas por cobrar empleados;Subcuenta
1103;ESTIMACION PARA CUENTAS INCOBRABLES (CR);Cuenta Mayor
1104;PARTES RELACIONADAS POR COBRAR A CORTO PLAZO;Cuenta Mayor
110401;Casa matriz;Subcuenta
110402;Sucursales;Subcuenta
11040201;Sucursal 1;Detalle
110403;Accionistas;Subcuenta
110404;Directores y personal ejecutivo;Subcuenta
110405;Subsidiarias;Subcuenta
110406;Asociadas;Subcuenta
1105;ARRENDAMIENTO FINANCIERO INCOBRABLES POR PLAZO;Cuenta Mayor
1106;ESTIMACION DE CUENTAS INCOBRABLES POR ARRENDAMIENTO FINANCIERO POR COBRAR A CORTO PLAZO (CR);Cuenta Mayor
1107;INVENTARIOS;Cuenta Mayor
110701;Mercadería para la venta;Subcuenta
110702;Materias primas;Subcuenta
110703;Producto en proceso;Subcuenta
110704;Producto terminado;Subcuenta
1108;PEDIDOS EN TRANSITO;Cuenta Mayor
1109;RESERVA PARA OBSOLESCENCIA DE INVENTARIOS (CR);Cuenta Mayor
1110;INVERSIONES TEMPORALES;Cuenta Mayor
111001;Acciones;Subcuenta
111002;Bonos;Subcuenta
1111;PAGOS ANTICIPADOS;Cuenta Mayor
111101;Seguros pagados por anticipado;Subcuenta
111102;Papelería y útiles;Subcuenta
1112;CREDITO FISCAL - IVA;Cuenta Mayor
111201;Crédito Fiscal por Compras;Subcuenta
11120101;Crédito fiscal por compras locales;Detalle
11120102;Crédito fiscal por importaciones e internaciones;Detalle
111202;Crédito Fiscal por Gastos;Subcuenta
111203;Crédito Fiscal por Retención 1%;Subcuenta
111204;Crédito Fiscal por Percepción 1%;Subcuenta
111205;Crédito Fiscal por Anticipo a Cuenta de IVA 2%;Subcuenta
1113;PAGO A CUENTA DE IMPUESTOS;Cuenta Mayor
111301;ISR - Retenciones de Terceros;Subcuenta
111302;ISR - Pago a Cuenta del Presente Ejecutivo;Subcuenta
111303;ISR - Pago a Cuenta de Ejercicios Anteriores;Subcuenta
111304;ISR - Diferido;Subcuenta
111305;Impuestos municipales;Subcuenta
12;ACTIVO NO CORRIENTE;Subgrupo
1201;CUENTAS POR COBRAR A LARGO PLAZO;Cuenta Mayor
1202;PARTES RELACIONADAS POR COBRAR A LARGO PLAZO;Cuenta Mayor
120201;Casa matriz;Subcuenta
120202;Sucursales;Subcuenta
120203;Accionistas;Subcuenta
120204;Directores y ejecutivos;Subcuenta
120205;Subsidiarias;Subcuenta
120206;Asociadas;Subcuenta
1203;ARRENDAMIENTO FINANCIERO POR COBRAR A LARGO PLAZO;Cuenta Mayor
1204;ESTIMACION DE CUENTAS INCOBRABLES POR ARRENDAMIENTO FINANCIERO POR COBRAR A LARGO PLAZO. (CR);Cuenta Mayor
1205;INVERSIONES PERMANENTES;Cuenta Mayor
120501;Acciones;Subcuenta
120502;Bonos;Subcuenta
1206;PROPIEDEAD, PLANTA Y EQUIPO;Cuenta Mayor
120601;Bienes No Depreciables;Subcuenta
12060101;Terrenos;Detalle
12060102;Edificaciones;Detalle
120602;Bienes depreciables;Subcuenta
