codigo;nombre
1;ACTIVO
11;ACTIVOS CORRIENTES
1101;EFECTIVOS Y EQUIVALENTE
110101;CAJA GENERAL
11010101;Moneda en curso legal
11010102;Moneda extranjera
11010103;Cheque en cobro
11010104;Documentos por liquidar
110102;CAJA CHICA
11010201;Moneda en curso legal
110103;DEPÓSITOS EN BANCOS
11010301;Cuenta corriente
1101030101;Banco Agrícola
1101030102;Banco Hipotecario
1101030103;Banco de Fomento Agropecuario
1101030104;BANCOVI
1101030105;Banco DAVIVIENDA
11010302;Cuenta de Ahorros
1101030201;Banco Agrícola
1101030202;Banco Hipotecario
1101030203;Banco de Fomento Agropecuario
1101030204;BANCOVI
1101030205;Banco DAVIVIENDA
11010303;Fondos fijos
1101030301;Fondos de cambios
1101030302;Fondo para cuenta de ahorros
1102;ACTIVOS REALIZABLES
110201;DEPÓSITOS A PLAZOS
11020101;Banco Agrícola
11020102;Banco Hipotecario
11020103;Banco de Fomento Agropecuario
11020104;Banco DAVIVIENDA
11020105;BANCOVI
110202;DEPÓSITOS EN GARANTÍA
11020201;Cuenta corriente
11020202;Cuenta de Ahorros
11020203;Cuenta a plazo
110203;INVERSIONES TEMPORALES
11020301;Bonos
11020302;Cédulas
11020303;Acciones
110204;CUENTA POR COBRAR COMERCIALES
11020401;Clientes locales
11020402;Clientes del exterior
11020403;Proveedores
110205;CUENTAS POR COBRAR COMERCIALES PARTES RELACIONADAS
11020501;Asociaciones Cooperativa
11020502;Federaciones
11020503;Confederaciones
110206;DOCUMENTOS POR COBRAR COMERCIALES
11020601;Clientes locales
11020602;Clientes del exterior
11020603;Proveedores
110207;DOCUMENTOS POR COBRAR COMERCIALES PARTES RELACIONADAS
11020701;Asociaciones cooperativas
11020702;Federaciones
11020703;Confederaciones
110208;CUENTAS POR COBRAR ARRENDAMIENTOS FINANCIEROS
11020801;Varios
110209;CUENTAS POR COBRAR NO COMERCIALES
11020901;Préstamos y anticipos a empleados
11020902;Anticipos a proveedores
11020903;Intereses por cobrar
1102090301;Intereses por cobrar a asociados
1102090302;Intereses por cobrar a empleados
11020904;Anticipo a honorarios
11020905;Pagos por cuenta ajena
11020906;Deudas por cobrar a ex asociados
110210;PRÉSTAMOS A ASOCIADOS
11021001;Préstamos personales
11021002;Préstamos de Vivienda
11021003;Préstamos de Ganadería
11021004;Prestamos con Aportaciones
11021005;Prestamos de Agricultura y Avió
110211;CUENTAS POR COBRAR A ASOCIADOS
11021101;Préstamos personales
11021102;Préstamos de Vivienda
11021103;Préstamos de Ganadería
11021104;Préstamos con Aportaciones
11021105;Préstamos de Agricultura y Avío
110212;CRÉDITOS A ASOCIADOS
11021201;Mercadería
1102120101;Teja
1102120102;Bloque
1102120103;Losa de ferro cemento
110213;ESTIMACIÓN PARA CUENTA INCOBRABLE
11021301;Cuentas comerciales
11021302;Cuentas por cobrar comerciales partes relacionadas
11021303;Cuentas por cobrar arrendamiento financiero
11021304;Documentos por cobrar comerciales
11021305;Documentos por cobrar comerciales partes relacionadas
11021306;Cuenta por cobrar no comerciales
110214;INVENTARIO
11021401;Productos terminados
11021402;Productos en proceso
11021403;Materia prima
11021404;Material Directo
11021405;Materiales indirectos
11021406;Repuestos y accesorios
110215;PROVISIÓN POR DETERIORO DE EXISTENCIAS
11021501;Mercaderías
11021502;Repuestos y accesorios para equipos
11021503;Otros
110216;GASTOS PAGADOS POR ANTICIPADO
11021601;Seguros y fianzas
11021602;Alquileres
