Código;Nombre;Descripción;Se Carga;Se Abona;Saldo
1;ACTIVO;Representa todos los bienes o recursos propios, controlados por la sociedad como resultado de sucesos pasados y de los que la compañía espera obtener en el futuro, beneficios económicos. Los activos se clasifican en dos grupos: activo corriente y activo no corriente.;;;Deudor
11;ACTIVO CORRIENTE;Aquí se agrupan los valores que pertenecen a la empresa, disponibles o realizables en un periodo no mayor de doce meses, iniciado desde la fecha de cierre del Balance, producto de operaciones del giro normal de la empresa. El activo corriente comprenderá: el efectivo, el equivalente de efectivo, cuentas y documentos por cobrar, inventarios, mercadería en tránsito, inversiones temporales, pagos anticipados, Crédito fiscal y pago a cuenta de impuestos.;;;Deudor
1101;EFECTIVO Y EQUIVALENTES;En esta cuenta se registran los valores negociables altamente líquidos. Los que están en efectivo en Caja General, Caja Chica y Bancos, cuya utilización no esté restringida. Equivalentes de efectivo son inversiones a corto plazo, cuya recuperación es segura y pronta, que se puedan convertir en efectivo en un periodo de tiempo no mayor a tres meses.;Con el valor de los ingresos de efectivo o equivalentes de efectivo.;Con el valor de las salidas de efectivo o equivalentes de efectivo.;Deudor
1102;CUENTAS Y DOCUMENTOS POR COBRAR;Son activos financieros que incorporan derechos adquiridos a favor de la empresa pendiente de cobro en un periodo no mayor a doce meses, comprende saldos pendientes de pago de los clientes por ventas al crédito, cuentas por cobrar a empleados y otras operaciones de crédito que se pretenden cobrar en el corto plazo.;Con el valor de las ventas al Crédito, préstamos, derechos a cobrar por operaciones del giro normal de la empresa.;Con los pagos efectuados por los clientes y los pagos efectuados por los deudores registrados en esta cuenta.;Deudor
1103;ESTIMACION PARA CUENTAS INCOBRABLES (CR.);Representa la estimación que se establezca para compensar las ventas al Crédito de dudosa recuperación, tomando como base el comportamiento de la morosidad de los clientes.;Con los valores para disminuir los saldos producto de recuperaciones, ajuste a la estimación para reflejar un saldo adecuado, suficiente para respaldar los valores con riesgo de cobro según el análisis efectuado y el saldo del cliente.;Con el valor de la estimación efectuada en base al análisis de morosidad de los saldos de los clientes por ventas al Crédito.;Acreedor
1104;PARTES RELACIONADAS POR COBRAR A CORTO PLAZO;Representa los derechos de cobro a corto plazo obtenido por la sociedad ante la Casa Matriz, Sucursales, accionistas, subsidiarias, negocios conjuntos y personal clave de la empresa por operaciones derivadas de negociaciones de tipo comercial y/o administrativo tanto del giro normal como ajenas a este.;Con los valores que la empresa otorgue a partes relacionadas, obtenidos directa o indirectamente y/o a través de intermediados a cuenta de operaciones derivadas de operaciones del giro normal o ajeno a este.;Con los pagos parciales o totales recibidos de las partes relacionadas.;Deudor
1105;ARRENDAMIENTO FINANCIERO POR COBRAR A CORTO PLAZO;Representa los arrendamientos financieros que la empresa vende mediante contrato en el cual transfiere al cliente sustancialmente todos los riesgos y ventajas inherentes a la propiedad del bien dado en arrendamiento. La propiedad del mismo puede o no puede ser eventualmente transferida al final del pago de la última cuota establecida. Al final del plazo estipulado el arrendatario o cliente tendrá la opción de comprar el bien a un precio predefinido, devolverlo o prorrogar el plazo del contrato por períodos ulteriores (extensos). El cobro del valor cargado de espera que sea recuperado en un período no mayor a doce meses.;Con el valor del contrato pendiente de cobro por arrendamiento financiero.;Con los abonos y la cancelación del saldo del arrendamiento financiero.;Deudor
1106;ESTIMACIÓN DE CUENTAS INCOBRABLES POR ARRENADAMIENTO FINANCIERO POR COBRAR A CORTO PLAZO (CR);Establece el valor de la estimación de las cuentas incobrables por arrendamiento financiero, en base al método que proporciona la seguridad razonable que defina los valores probables que no se cobrarán en el corto plazo, definido por un cobro no mayor a doce meses.;Con el uso que se haga de la estimación de cuentas incobrables por los valores recuperados.;Con la estimación de las cuentas incobrables.;Acreedor
1107;INVENTARIOS;En esta cuenta se registran las existencias destinadas para la venta en el curso ordinario de la empresa. Que están en proceso de producción. Para ser consumidos en la producción de bienes o servicios y en proceso de producción, refleja el saldo al inicio del período y el disponible para la venta, producción o proceso de producción, refleja el valor de compra más fletes y todos los otros gastos erogados para ingresar a la bodega de la empresa los inventarios que están en proceso de producción.;Con los inventarios ingresados a bodega o que están en proceso de producción en la fecha de presentación de los Estados Financieros.;Salidas de existencias para la venta o producción, faltantes, o para liquidarla al final del Ejercicio.;Deudor
1108;PEDIDOS EN TRÁNSITO;Representa el valor de las mercaderías o productos de las importaciones en tránsito, que no han sido ingresadas a la bodega de la empresa y que aún no se ha establecido el costo de adquisición.;Con las erogaciones efectuadas para la importación de la mercadería que aun no se han registrado en la cuenta de inventarios.;Con el traslado a la cuenta de inventarios, al efectuar el retaceo.;Deudor
1109;RESERVA PARA OBSOLESCENCIA DE INVENTARIOS (CR);Refleja las estimaciones financieras, que la empresa realiza según las políticas establecidas para salvaguardar la obsolescencia de inventarios de materiales, accesorios para la prestación del servicio de salud y los bienes de salud para la venta.;Con el importe de la estimación para cubrir la obsolescencia o deterioro de los inventarios.;Con el uso que se haga de la estimación por los inventarios que se consideren obsoletos o dañados.;Acreedor
1110;INVERSIONES TEMPORALES;Esta cuenta representa las inversiones altamente liquidas, principalmente en acciones, certificados de inversión, bonos, que la sociedad adquiera y que se puedan realizar fácilmente y se poseerán en un periodo no mayor de un año y mayor a tres meses.;Con el costo de adquisición de las inversiones temporales de fácil realización.;Con la venta de los títulos valores propiedad de la empresa.;Deudor
1111;PAGOS ANTICIPADOS;Representa las erogaciones por costos y gastos pagados por anticipado, efectuadas por la compañía en concepto de gastos de constitución y organización, seguros pagados por anticipado, alquileres y papelería y útiles.;Con el costo de adquisición de bienes y servicios pagados por anticipado.;Con las amortizaciones correspondientes a cada mes, determinadas al estimar la cobertura del gasto pagado por anticipado.;Deudor
1112;CRÉDITO FISCAL - IVA;Refleja el valor del impuesto a la transferencia de Bienes Muebles y a la Prestación de Servicios, acreditado a la entidad por las compras efectuadas, retenciones y pago a cuenta de IVA.;Con las cantidades del impuesto acreditadas en los comprobantes de Crédito fiscal por los proveedores, en las compras efectuadas, retenciones y pagos a cuenta.;Al final de cada mes, al efectuar la liquidación con el Débito fiscal, y elaborar la declaración de IVA para determinar el monto del impuesto a pagar.;Deudor
1113;PAGO A CUENTA DE IMPUESTOS;Esta cuenta registra el monto de los impuestos tributarios, fiscales o municipales, que se paguen en forma anticipada según la normativa vigente, los cuales se compensaran al liquidar los impuestos del periodo.;Con el valor de los pagos en concepto de anticipo de impuesto municipal o fiscal.;Con la liquidación del impuesto cuando se determina el impuesto definitivo a cancelar.;Deudor
12;ACTIVO NO CORRIENTE;En este grupo de cuentas se concentran las que tienen alguna restricción para su realización o que el período para su realización, es mayor a un año, incluyen además todos aquellos activos que en forma directa generan producción a la compañía o son utilizados en la operación y no tienen las características para clasificarlos como Activo Corriente. Se incluyen en este rubro las cuentas: cuentas y documentos por cobrar a largo plazo, cuentas por cobrar entre compañías relacionadas, inversiones permanentes, propiedad, planta y equipo, depreciación acumulada, revaluación de activos, activos intangibles, etc.;;;Deudor
1201;CUENTAS POR COBRAR A LARGO PLAZO;Representan los importes que entes locales o del exterior adeudan a la sociedad, formalizados mediante un documento de carácter legal, cuyo período de vencimiento es mayor a un año, contado a partir de la fecha del cierre del balance de situación financiera.;Con el valor de las ventas al Crédito, préstamos, derechos a cobrar por operaciones del giro normal de la empresa.;Con los pagos efectuados por los clientes y los pagos efectuados pop los deudores registrados en esta cuenta.;Deudor
1202;PARTES RELACIONADAS POR COBRAR A LARGO PLAZO;Esta cuenta representa los cargos que la empresa otorgue a la casa matriz, sucursales o asociadas, directa o indirectamente, a través de intermediarios, que controlan, son controladas o estén bajo control común de la empresa, por operaciones derivadas de negociaciones de tipo comercial y/o administrativo tanto del giro normal como ajenas a este.;Con el valor que la empresa otorgue a la casa matriz, sucursales directa o indirectamente y/ a través de intermediarios a cuenta de operaciones derivadas de operaciones del giro normal o ajenos a este, y que este pactado para el pago a largo plazo.;Con los abonos parciales o totales que la compañía controladora, subsidiaria, sucursal o asociada de negociaciones de tipo comercial y/o administrativo que se adeude a la sociedad.;Deudor
1203;ARRENDAMIENTO FINANCIERO POR COBRAR A LARGO PLAZO;Representa los arrendamientos financieros a cobrar a un plazo mayor a los doce meses, que la empresa efectúa mediante contrato, en el cual transfiere al cliente sustancialmente todos los riesgos y ventajas inherentes a la propiedad del bien dado en arrendamiento. La propiedad del mismo puede o no puede ser eventualmente transferida al final del pago de la última cuota establecida. Al final del plazo estipulado el arrendamiento o cliente tendrá la opción de comprar el bien a un precio predefinido, devolverlo o prorrogar el plazo del contrato por períodos ulteriores.;Con el valor del contrato pendiente de cobro por arrendamiento financiero.;Con los abonos y la cancelación del saldo del arrendamiento financiero.;Deudor
1204;ESTIMACION DE CUENTAS INCOBRABLES POR ARRENDAMIENTO FINANCIERO POR COBRAR A LARGO PLAZO. (CR).;Establece el valor de la estimación de las cuentas incobrables por arrendamiento financiero de largo plazo, en base al método que proporciona la seguridad razonable que defina los valores probables que no se cobrarán.;Con el uso que se haga de la estimación de cuentas incobrables por los valores recuperados.;Con la estimación de las cuentas incobrables de arrendamiento financiero por cobrar en el largo plazo.;Acreedor
1205;INVERSIONES PERMANENTES;Representa el costo de los activos que la sociedad adquiere, con intención de incrementar su riqueza por medio de réditos producidos tales como intereses, regalías, dividendos y otros beneficios, que se derivan de las relaciones comerciales.;Con el valor de las inversiones en acciones, bonos y similares con la intención de generar rentabilidad y cuyo plazo es mayor a un año.;Con la venta, permuta, dación en pago y otras similares.;Deudor
1206;PROPIEDAD, PLANTA Y EQUIPO;Esta es una cuenta de agrupación, que incluye, activos tangibles, que pese la empresa para la producción y se espera usar más de un periodo contable, se subdividen en bienes no depreciables y bienes depreciables.;Con la compra al costo de los activos tangibles, con rentabilidad futura y que su duración es mayor a un periodo contable.;Con la venta, descargo por deterioro u obsolescencia.;Deudor
1207;DEPRECIACIÓN ACUMULADA (CR);Presenta la parte proporcional acumulada de la pérdida de valor por acción del tiempo o uso de los bienes depreciables de propiedad, planta y equipo, destinados a realizar la actividad habitual del negocio tales como: edificaciones, mobiliario y equipo, equipo de transporte y otros.;Cuando el activo es dado de baja producto de venta, deterioro, obsolescencia o pérdida.;Con la cuota que se registra en base al método descrito en la política cantable relativa a propiedad, planta y equipo.;Acreedor
1208;PRPOPIEDAD DE INVERSION;Comprende todos los bienes muebles e inmuebles que posee la empresa de los cuales obtiene ingresos o rendimientos por alquiler financiero o arrendamiento operativo.;Con el reconocimiento del bien mueble o inmueble como propiedad de inversión.;Con la baja en cuenta por venta, deterioro total o vencimiento de la vid útil.;Deudor
