cuenta_codigo;descripcion_rubro;se_carga_por;se_abona_por;significado_saldo
1;Está constituido por el conjunto de bienes y derechos propiedad de la Cooperativa;"";"";Su saldo es DEUDOR
11;La característica de disponibilidad inmediata y fácil realización que poseen los valores de activo, tales como el dinero en efectivo, depósitos en bancos, mercaderías, etc, como consecuencia de las actividades normales de la empresa hacen que estos valores sean susceptibles de agrupaciones en el balance bajo un encabezado que de la idea de lo que ellos representan y la designación que se les ha dado es el activo corriente;"";"";Su saldo es DEUDOR
1101;Bajo este rubro se registran los movimientos diarios de ingresos y egresos de dinero en efectivo;"";"";Su saldo es DEUDOR
110101;Bajo esta cuenta se registrarán los ingresos y egresos de dinero en efectivo;Con el valor representado en efectivo y en cheque recibido en concepto de ventas al contado, anticipo de clientes, cobros a clientes, préstamos recibidos en efectivo, con la creación e incrementos de fondos fijos de caja chica y por las compras de moneda extranjera;Con el valor de las remesas efectuadas a los diferentes bancos e instituciones financieras con la reducción de los fondos fijos de caja chica, con los pagos que se hagan en efectivo por diferentes conceptos y por cierre contable;Su saldo es DEUDOR
110102;Esta cuenta registrará la creación de un fondo fijo, de acuerdo a las necesidades de la Cooperativa que servirá para cubrir gastos de menor cuantía, hasta un límite establecido;Con el valor con que se crea el fondo y con las cantidades con que se incrementa;Por la reducción del fondo y por su liquidación;Su saldo es DEUDOR, y en los balances aparecerá con el valor establecido, ya que la liquidación de los pagos se hará por medio de cheques de reposición
110103;Bajo esta cuenta se registrarán todos los depósitos efectuados en los bancos, ya sea a la vista, a plazo, en cuenta corriente, en cuentas de ahorros, nota de abono, así como retiros en cuentas corrientes que posea la empresa;Con las remesas de fondos efectuadas por la empresa, depósitos a plazo, y de ahorros, anulación de cheques emitidos y ya contabilizados, notas de abonos, etc;Con los cheques emitidos, con los retiros de las cuentas de depósitos y con las notas de cargo aplicadas por el Banco, y por cierre contable;Su saldo es DEUDOR
1102;Este rubro representa los valores en bienes de realización inmediata, para la venta;"";"";Su saldo es DEUDOR
110201;Se registrarán los depósitos a plazo fijo en instituciones financieras;Con los depósitos efectuados;Con los retiros efectuados a su vencimiento;Su saldo es DEUDOR
110202;Bajo esta cuenta se registran las cantidades que se hayan dado en depósitos para garantizar algún servicio o trámite;Con las cantidades entregadas en concepto de garantías de los servicios o por la compra de equipo u otras causa;Al liquidarse el servicio que se ha prestado y con la devolución del depósito;Su saldo es DEUDOR
110203;Bajo esta cuenta se registrarán las inversiones que realiza la cooperativa, ya sea participando en otras cooperativas, adquiriendo bonos y cualquier otra operación similar que no pase de un año su realización;Con el valor de la adquisición de título o apertura del documento;Con el valor de la adquisición del título valor o con el retiro de los fondos invertidos;Su saldo es DEUDOR
110204;Bajo esta cuenta se registran los valores efectuados o cobros a clientes por ventas o servicios prestados al crédito;Con el valor original de las facturas al crédito y de los documentos que amparan la obligación a nuestro favor debidamente firmada;Con los pagos o abonos recibidas de las transacciones que hemos aplicado en las cuentas por cobrar;Su saldo es DEUDOR
110205;Bajo esta cuenta se registrará el valor de las cuentas del grupo de cooperativas con las que la cooperativa mantenga relaciones comerciales y participación en su capital;Con el valor a cobrar;Con el valor total o parcial del cobro;Su saldo es DEUDOR
110206;Bajo esta cuenta se registran los valores a cobrar a terceros personas por operaciones que no se relacionan con el curso normal del negocio y que no han firmado algún documento mercantil para amparar la transacción;Con el valor original del documento que amparan la obligación;Con los pagos parciales o totales de la deuda;Su saldo es DEUDOR
110207;Bajo esta cuenta se registrará el valor de los documentos por cobrar del grupo de cooperativas con las que la cooperativa mantenga relaciones comerciales y participación en sus aportaciones;Con el valor a cobrar;Con el valor total o parcial del cobro;Su saldo es DEUDOR
